"region","Year","decile","rent_own_ratio"
12060,1985,0,0.403936594358695
12060,1985,1,0.0760789013480199
12060,1985,2,0.142075726950449
12060,1985,3,0.394871725882179
12060,1985,4,0.162261566682676
12060,1985,5,0.437811055229181
12060,1985,6,0
12060,1985,7,0
12060,1985,8,0
12060,1985,9,0
12060,1987,0,0.536176229481696
12060,1987,1,0.729492979819881
12060,1987,2,0.202850963490031
12060,1987,3,0.123835584488749
12060,1987,4,0.211483212051115
12060,1987,5,0.247141430976472
12060,1987,6,0
12060,1987,7,0.139789931175989
12060,1987,8,0.0588952360753075
12060,1987,9,0
12060,1989,0,0.514484125880221
12060,1989,1,1.44084653130073
12060,1989,2,0.293123541345341
12060,1989,3,0.316840063567896
12060,1989,4,0.428544810881312
12060,1989,5,0.288777491299858
12060,1989,6,0.273901960484286
12060,1989,7,0
12060,1989,8,0
12060,1989,9,0
12060,1991,0,0.573863394042669
12060,1991,1,0.537221813991644
12060,1991,2,0.0702153046954186
12060,1991,3,0.331287199968278
12060,1991,4,0.0910770438612533
12060,1991,5,0
12060,1991,6,0.0522454232577765
12060,1991,7,0.0590455786849446
12060,1991,8,0
12060,1991,9,0
12060,1993,0,0.471752160023397
12060,1993,1,0.34617136947591
12060,1993,2,0.0996609730717617
12060,1993,3,0.117879613749031
12060,1993,4,0.248543610719894
12060,1993,5,0.23138550444886
12060,1993,6,0.242529247067886
12060,1993,7,0.0660527036477913
12060,1993,8,0
12060,1993,9,0
12060,1995,0,1.19262943410944
12060,1995,1,0.592209157143376
12060,1995,2,0.627420743556024
12060,1995,3,0.35815460553495
12060,1995,4,0.165697291977716
12060,1995,5,0
12060,1995,6,0.124242255980142
12060,1995,7,0.123496088907549
12060,1995,8,0
12060,1995,9,0.0643587241493606
12060,1997,0,0.810220952565615
12060,1997,1,0.39956760967487
12060,1997,2,0.226703230046066
12060,1997,3,0.0854483896165903
12060,1997,4,0.384005890208988
12060,1997,5,0.0708476934590544
12060,1997,6,0
12060,1997,7,0
12060,1997,8,0.0971445568495266
12060,1997,9,0
12060,1999,0,1.85616176502168
12060,1999,1,0.499801944925704
12060,1999,2,0.615576886110901
12060,1999,3,0.325978869024388
12060,1999,4,0.0777477986219544
12060,1999,5,0.293536941401902
12060,1999,6,0.177371370389077
12060,1999,7,0
12060,1999,8,0
12060,1999,9,0
12060,2001,0,1.03130720991727
12060,2001,1,0.370688855750094
12060,2001,2,0.427662966735604
12060,2001,3,0.288805812936185
12060,2001,4,0.192825951851356
12060,2001,5,0.135370176380761
12060,2001,6,0.23614916799613
12060,2001,7,0
12060,2001,8,0
12060,2001,9,0
12060,2003,0,2.43354560409068
12060,2003,1,0.74093634959589
12060,2003,2,0.29851144595322
12060,2003,3,0.554087635810857
12060,2003,4,0.330053139389045
12060,2003,5,0.0615609308714087
12060,2003,6,0.0722365490661249
12060,2003,7,0.0572389555826445
12060,2003,8,0.0724953767129129
12060,2003,9,0
12060,2005,0,2.36658529303405
12060,2005,1,1.02735313337465
12060,2005,2,0.528663487805642
12060,2005,3,0.489893433530932
12060,2005,4,0.329891413706714
12060,2005,5,0.126756022447097
12060,2005,6,0.0402764981948868
12060,2005,7,0.107559280449127
12060,2005,8,0.209052918622862
12060,2005,9,0
12060,2007,0,0.965694325723104
12060,2007,1,0.388308538665997
12060,2007,2,0.337277231731408
12060,2007,3,1.2100228031667
12060,2007,4,0.245302919020805
12060,2007,5,0.0721839128700292
12060,2007,6,0.292442935517331
12060,2007,7,0
12060,2007,8,0
12060,2007,9,0
12060,2009,0,0.354502704288004
12060,2009,1,0.634411342413093
12060,2009,2,0.249447348909583
12060,2009,3,0.68362589303387
12060,2009,4,0.0771933660492511
12060,2009,5,0.592054483413945
12060,2009,6,0.152510190449952
12060,2009,7,0.24143441749688
12060,2009,8,0.0894027628046285
12060,2009,9,0
12060,2011,0,1.76268567314917
12060,2011,1,1.36953667695694
12060,2011,2,0.886512724435461
12060,2011,3,0.0621318398698469
12060,2011,4,0.321125222352197
12060,2011,5,0.332883278718079
12060,2011,6,0.440105031932624
12060,2011,7,0.22416514399046
12060,2011,8,0.0829574281781459
12060,2011,9,0.253002771103492
12060,2013,0,0.644884543561323
12060,2013,1,2.97949802790584
12060,2013,2,0.3736737621883
12060,2013,3,0.437957023465023
12060,2013,4,0.427051792074818
12060,2013,5,0.218453093217054
12060,2013,6,0.0833994605418408
12060,2013,7,0.285596640210303
12060,2013,8,0.263275670435602
12060,2013,9,0
12060,2015,0,0.565423423002641
12060,2015,1,0.312174357281785
12060,2015,2,0.239676409726322
12060,2015,3,0.302610056279857
12060,2015,4,0.168569846024126
12060,2015,5,0.193553634848478
12060,2015,6,0.122618526247802
12060,2015,7,0.0626250201816307
12060,2015,8,0.0365386191722073
12060,2015,9,0.0159659465262998
12060,2015,NA,0.824429526052901
12060,2017,0,1.05836256913863
12060,2017,1,0.494497448482126
12060,2017,2,0.342655545788674
12060,2017,3,0.326764137483982
12060,2017,4,0.22462350435437
12060,2017,5,0.246112704233205
12060,2017,6,0.178799953907072
12060,2017,7,0.0965472961751952
12060,2017,8,0.0447118951155275
12060,2017,9,0.0144154839015504
12060,2017,NA,0.723097531642153
12060,2019,0,0.672714540356657
12060,2019,1,0.331637736543919
12060,2019,2,0.257732805275432
12060,2019,3,0.286475577840613
12060,2019,4,0.192208233780838
12060,2019,5,0.181460297637336
12060,2019,6,0.148383384364247
12060,2019,7,0.0972877525760214
12060,2019,8,0.0808310122785837
12060,2019,9,0.00615865075426601
12060,2019,NA,0.45480435966094
14460,2015,0,0.48084628052756
14460,2015,1,0.267037753922894
14460,2015,2,0.00357215356791543
14460,2015,3,0.0724674614412931
14460,2015,4,0.058345952985219
14460,2015,5,0.0831751708628741
14460,2015,6,0.0573439884482471
14460,2015,7,0
14460,2015,8,0
14460,2015,9,0.0296844816747798
14460,2015,NA,0.253559967985747
14460,2017,0,0.964920823288509
14460,2017,1,0.231797863621934
14460,2017,2,0.141450418550033
14460,2017,3,0.0932719027558938
14460,2017,4,0.0626557926082799
14460,2017,5,0.0451471786856395
14460,2017,6,0.0159212795582272
14460,2017,7,0.0964732933253449
14460,2017,8,0.0217677126822402
14460,2017,9,0.0127792765056204
14460,2017,NA,0.35584988712218
14460,2019,0,0.768444081926506
14460,2019,1,0.228044917624325
14460,2019,2,0.148171700347871
14460,2019,3,0.0345670241746494
14460,2019,4,0.0858616069957382
14460,2019,5,0.0557643465120345
14460,2019,6,0.0612719765249742
14460,2019,7,0.033304449274021
14460,2019,8,0.0112253315008582
14460,2019,9,0.00919828980840747
14460,2019,NA,0.223178901908465
16980,1985,0,0.25121748041905
16980,1985,1,0.0765914685603831
16980,1985,2,0.0803210989393645
16980,1985,3,0.085387375350926
16980,1985,4,0.0260861753942175
16980,1985,5,0.0571545955520567
16980,1985,6,0
16980,1985,7,0.0488823945880294
16980,1985,8,0.0252677316659586
16980,1985,9,0
16980,1987,0,0.207256311418251
16980,1987,1,0.0518923425676038
16980,1987,2,0.0514803943661849
16980,1987,3,0.0817376691429535
16980,1987,4,0.0219949416017241
16980,1987,5,0
16980,1987,6,0.0228589875959659
16980,1987,7,0
16980,1987,8,0.02183361524912
16980,1987,9,0
16980,1989,0,0.453595901249169
16980,1989,1,0.107091933589647
16980,1989,2,0.0265477591405342
16980,1989,3,0.0611701547304614
16980,1989,4,0.0187285450484931
16980,1989,5,0.0241302668014283
16980,1989,6,0
16980,1989,7,0.0448864364273674
16980,1989,8,0.036641953847639
16980,1989,9,0
16980,1991,0,0.230128826082075
16980,1991,1,0.104045250513075
16980,1991,2,0.0895566412483739
16980,1991,3,0
16980,1991,4,0.0281397398404326
16980,1991,5,0.100757720961684
16980,1991,6,0.0477929178267137
16980,1991,7,0.0216949990457776
16980,1991,8,0.0274513029133621
16980,1991,9,0.0272345889825601
16980,1993,0,0.433868122531774
16980,1993,1,0.169741153451846
16980,1993,2,0.0454868502287433
16980,1993,3,0.0555718239417714
16980,1993,4,0.0196029022972396
16980,1993,5,0.074098031046729
16980,1993,6,0.0270700672204812
16980,1993,7,0.0231687053338983
16980,1993,8,0.0427033265784006
16980,1993,9,0
16980,1995,0,0.223214109607727
16980,1995,1,0.0340554097598246
16980,1995,2,0.0429123888570764
16980,1995,3,0.0522761582347426
16980,1995,4,0.0760318324251384
16980,1995,5,0.0661340378219333
16980,1995,6,0.0115282829541762
16980,1995,7,0
16980,1995,8,0.0236078952388926
16980,1995,9,0
16980,1997,0,0.172673472140335
16980,1997,1,0.0778582865433595
16980,1997,2,0.0275656467374052
16980,1997,3,0.0756213731337969
16980,1997,4,0
16980,1997,5,0
16980,1997,6,0.0260837524375711
16980,1997,7,0.0339515410969706
16980,1997,8,0.0239371480051856
16980,1997,9,0.0236209254035954
16980,1999,0,0.29109266296267
16980,1999,1,0.15027346394344
16980,1999,2,0.0935896147942457
16980,1999,3,0.0113431331749248
16980,1999,4,0.0780467573785353
16980,1999,5,0
16980,1999,6,0.0221436025140385
16980,1999,7,0.0392244425449637
16980,1999,8,0.0240220340153079
16980,1999,9,0.011788775416732
16980,2001,0,0.345603953536197
16980,2001,1,0.0827113791506789
16980,2001,2,0.0475124922839447
16980,2001,3,0.0270697625270686
16980,2001,4,0.0472740268037021
16980,2001,5,0
16980,2001,6,0.0216485534772191
16980,2001,7,0.052436690633339
16980,2001,8,0
16980,2001,9,0
16980,2003,0,0.303004480217249
16980,2003,1,0.113956176078617
16980,2003,2,0.0317758182985868
16980,2003,3,0.107652677455581
16980,2003,4,0.0326317248483009
16980,2003,5,0.0324379951521719
16980,2003,6,0.0102753505651138
16980,2003,7,0.0127863117269357
16980,2003,8,0.022928196074308
16980,2003,9,0.0134619336562003
16980,2005,0,0.232931155213894
16980,2005,1,0.073719134799716
16980,2005,2,0.0537855346069578
16980,2005,3,0.0408604972302126
16980,2005,4,0.0931476068776841
16980,2005,5,0.0529091370557364
16980,2005,6,0.0226216293324839
16980,2005,7,0.0573897900860365
16980,2005,8,0.0275665311348116
16980,2005,9,0
16980,2007,0,0.173336148457939
16980,2007,1,0.0661593548591797
16980,2007,2,0.0263735156896588
16980,2007,3,0.0653495522641905
16980,2007,4,0.108936551809074
16980,2007,5,0.06662965483534
16980,2007,6,0.0636280506816341
16980,2007,7,0.0291634883461414
16980,2007,8,0
16980,2007,9,0.0265387014093411
16980,2009,0,0.559247383863629
16980,2009,1,0.195126482838582
16980,2009,2,0.211868621485343
16980,2009,3,0.0705441018716455
16980,2009,4,0.0669279833623235
16980,2009,5,0.0912647987525147
16980,2009,6,0.023973823461205
16980,2009,7,0.0229124145140125
16980,2009,8,0
16980,2009,9,0.0252337296711534
16980,2011,0,0.556094976964769
16980,2011,1,0.112784787970395
16980,2011,2,0.193690530423107
16980,2011,3,0.105365992475493
16980,2011,4,0.126540677524673
16980,2011,5,0.0300958290420649
16980,2011,6,0.0367690508040995
16980,2011,7,0.0561590595728503
16980,2011,8,0.0332045021507451
16980,2011,9,0.0459992766276134
16980,2013,0,0.361510827329592
16980,2013,1,0.422793605859779
16980,2013,2,0.140087106678303
16980,2013,3,0.216623422141151
16980,2013,4,0.0338609952881634
16980,2013,5,0.0339085091334488
16980,2013,6,0
16980,2013,7,0.0238751994013679
16980,2013,8,0
16980,2013,9,0.0582009057987832
16980,2015,0,0.557524875001432
16980,2015,1,0.195864149659828
16980,2015,2,0.132634244962399
16980,2015,3,0.117318558660909
16980,2015,4,0.159265055913303
16980,2015,5,0.0925626081895833
16980,2015,6,0.108036893666479
16980,2015,7,0.0604240687716589
16980,2015,8,0.0409976617065964
16980,2015,9,0.0196654496493101
16980,2015,NA,0.353296162438021
16980,2017,0,0.413412883774715
16980,2017,1,0.23329969909147
16980,2017,2,0.115891059987845
16980,2017,3,0.114253565935909
16980,2017,4,0.147976484746503
16980,2017,5,0.163959965305135
16980,2017,6,0.0791977656261256
16980,2017,7,0.0296386997468641
16980,2017,8,0.0462903994687148
16980,2017,9,0.0112343728971194
16980,2017,NA,0.243694561385324
16980,2019,0,0.472776500717348
16980,2019,1,0.17173562475705
16980,2019,2,0.0951936212648993
16980,2019,3,0.078429088201129
16980,2019,4,0.127734163865999
16980,2019,5,0.121529688501278
16980,2019,6,0.110948031211346
16980,2019,7,0.0513608180256244
16980,2019,8,0.0535119641790425
16980,2019,9,0.018368829976628
16980,2019,NA,0.215288682472696
19100,1985,0,0.901185429429991
19100,1985,1,0.565506682915071
19100,1985,2,0.16464388071457
19100,1985,3,0.114726836127315
19100,1985,4,0.215241283205777
19100,1985,5,0.189926051340786
19100,1985,6,0.111146954540125
19100,1985,7,0.0692260684741735
19100,1985,8,0
19100,1985,9,0.0702785424810984
19100,1987,0,0.967710003442123
19100,1987,1,0.445060610336222
19100,1987,2,0.313062286454934
19100,1987,3,0.23013345394068
19100,1987,4,0.109488889866979
19100,1987,5,0.116526842342842
19100,1987,6,0.268590981115935
19100,1987,7,0.134043386235793
19100,1987,8,0.0342361265017038
19100,1987,9,0.0341547118809781
19100,1989,0,0.576477182263667
19100,1989,1,0.789258860513129
19100,1989,2,0.388465178365062
19100,1989,3,0.345217811566241
19100,1989,4,0.244185919415996
19100,1989,5,0.0381790518372046
19100,1989,6,0.0979560569326894
19100,1989,7,0.0900122060692822
19100,1989,8,0.0802227138395932
19100,1989,9,0.0613676554810418
19100,1991,0,1.13580923705689
19100,1991,1,0.45499917208791
19100,1991,2,0.210616394406554
19100,1991,3,0.297638492038379
19100,1991,4,0.191047625449984
19100,1991,5,0.0441809850416927
19100,1991,6,0.0775774869949446
19100,1991,7,0.123988516164746
19100,1991,8,0.187991203424611
19100,1991,9,0.0347489130220796
19100,1993,0,0.856384681249587
19100,1993,1,0.532428818569036
19100,1993,2,0.149222504890792
19100,1993,3,0.322684103397076
19100,1993,4,0.232777893187672
19100,1993,5,0.0527288047870079
19100,1993,6,0.106552799526445
19100,1993,7,0.0336608069173722
19100,1993,8,0.0875456538698504
19100,1993,9,0.0265956053015346
19100,1995,0,0.628800131710004
19100,1995,1,0.371604250142455
19100,1995,2,0.259244728429873
19100,1995,3,0.412413443759135
19100,1995,4,0.0267079072548532
19100,1995,5,0.219355938406315
19100,1995,6,0.0654828889183341
19100,1995,7,0.197622396808776
19100,1995,8,0.0507733274919053
19100,1995,9,0.0298708810466588
19100,1997,0,0.938247503409486
19100,1997,1,0.366821778049724
19100,1997,2,0.288782519378098
19100,1997,3,0.313589089201755
19100,1997,4,0.07453846973215
19100,1997,5,0.0471384156956687
19100,1997,6,0.205841146400757
19100,1997,7,0.0859984036218703
19100,1997,8,0.0485343417774228
19100,1997,9,0.0402613420907543
19100,1999,0,1.20667863999014
19100,1999,1,0.488594659397639
19100,1999,2,0.174889074727187
19100,1999,3,0.18744476227548
19100,1999,4,0.200838767055514
19100,1999,5,0.108415570739882
19100,1999,6,0.170949267541397
19100,1999,7,0.0370181943362922
19100,1999,8,0.111993880234869
19100,1999,9,0.034390626341291
19100,2001,0,0.767787162334811
19100,2001,1,0.517707372663832
19100,2001,2,0.361616290363123
19100,2001,3,0.346595840235688
19100,2001,4,0.115363236201103
19100,2001,5,0.14181877273048
19100,2001,6,0.192726589498713
19100,2001,7,0.0853102856642086
19100,2001,8,0.0394650866828677
19100,2001,9,0
19100,2003,0,1.97472645412174
19100,2003,1,0.390912775406261
19100,2003,2,0.464178066470512
19100,2003,3,0.320376394809398
19100,2003,4,0.2733058300259
19100,2003,5,0.0732431586676406
19100,2003,6,0.0733637046181126
19100,2003,7,0.0716160857018113
19100,2003,8,0.0366011628845832
19100,2003,9,0
19100,2005,0,0.807043989096558
19100,2005,1,0.133718808432907
19100,2005,2,0.270506159416893
19100,2005,3,0.246681445118828
19100,2005,4,0.0336250582354536
19100,2005,5,0.0735380135704159
19100,2005,6,0.121208773189211
19100,2005,7,0.109542542333628
19100,2005,8,0.036338874094838
19100,2005,9,0
19100,2007,0,1.08684699938748
19100,2007,1,0.167016967295248
19100,2007,2,0.242238974102596
19100,2007,3,0.12757096341266
19100,2007,4,0.14713371532686
19100,2007,5,0.177475660542849
19100,2007,6,0.0245691181190551
19100,2007,7,0.297495305768855
19100,2007,8,0.0366032214013348
19100,2007,9,0
19100,2009,0,1.0997233569846
19100,2009,1,0.286348716408232
19100,2009,2,0.165876898100721
19100,2009,3,0.142836514393105
19100,2009,4,0.219169254163446
19100,2009,5,0.140691787403202
19100,2009,6,0.161484053636236
19100,2009,7,0.203571768878888
19100,2009,8,0.100051375188458
19100,2009,9,0
19100,2011,0,1.24553523862571
19100,2011,1,0.539014265623329
19100,2011,2,0.239958073436002
19100,2011,3,0.1838912023397
19100,2011,4,0.18014094119748
19100,2011,5,0.061463609700642
19100,2011,6,0.212570086416027
19100,2011,7,0.197990088953527
19100,2011,8,0.0675198249056997
19100,2011,9,0.0692904688540736
19100,2013,0,1.66277766381591
19100,2013,1,0.288366081133152
19100,2013,2,0.287449020373966
19100,2013,3,0.1526605136834
19100,2013,4,0.420062973205121
19100,2013,5,0.233562813594739
19100,2013,6,0.338335990336509
19100,2013,7,0.172753092786792
19100,2013,8,0.0881676250168277
19100,2013,9,0
19100,2015,0,1.34359859308572
19100,2015,1,0.515014212068537
19100,2015,2,0.206008661040145
19100,2015,3,0.216272365143444
19100,2015,4,0.208533769163432
19100,2015,5,0.136076047130066
19100,2015,6,0.183223723192663
19100,2015,7,0.168056321966608
19100,2015,8,0.0528587421594676
19100,2015,9,0.00700562686520996
19100,2015,NA,0.568273591622876
19100,2017,0,1.17139462253294
19100,2017,1,0.328097480829589
19100,2017,2,0.233017609937771
19100,2017,3,0.309916993033683
19100,2017,4,0.145485435309194
19100,2017,5,0.273751529139361
19100,2017,6,0.17345163104176
19100,2017,7,0.108445778904253
19100,2017,8,0.0653296917202816
19100,2017,9,0.0141804347331734
19100,2017,NA,0.642612753445846
19100,2019,0,0.676487874279657
19100,2019,1,0.274380517978102
19100,2019,2,0.199702127654424
19100,2019,3,0.219986981703438
19100,2019,4,0.138514776885474
19100,2019,5,0.228074830164891
19100,2019,6,0.223983908874883
19100,2019,7,0.0884353040134623
19100,2019,8,0.0162749819819613
19100,2019,9,0.0217993514306091
19100,2019,NA,0.360292495450554
19820,1985,0,0.601805726542372
19820,1985,1,0.217166445183809
19820,1985,2,0.217465692963708
19820,1985,3,0.326592340118958
19820,1985,4,0.100981824020072
19820,1985,5,0.12306630147
19820,1985,6,0.1377439249068
19820,1985,7,0.0571266066564425
19820,1985,8,0.0322362047673572
19820,1985,9,0
19820,1987,0,0.556608215262563
19820,1987,1,0.323674181229753
19820,1987,2,0.302205619091554
19820,1987,3,0.312919219809431
19820,1987,4,0.0858646373365042
19820,1987,5,0.152215920403499
19820,1987,6,0
19820,1987,7,0.0563202099803326
19820,1987,8,0.0592425589354921
19820,1987,9,0.0252678645600832
19820,1989,0,0.610280198076279
19820,1989,1,0.180281501678298
19820,1989,2,0.172433346293812
19820,1989,3,0.138622188506265
19820,1989,4,0.16264936385585
19820,1989,5,0.115437141940596
19820,1989,6,0.0732340868507356
19820,1989,7,0
19820,1989,8,0
19820,1989,9,0.0579305878970864
19820,1991,0,0.652340781266708
19820,1991,1,0.288092445416914
19820,1991,2,0.172402005871443
19820,1991,3,0.0603142489535776
19820,1991,4,0.0853838005918074
19820,1991,5,0.103498610403394
19820,1991,6,0.0937377116422097
19820,1991,7,0.0262243117409897
19820,1991,8,0.0354726391600535
19820,1991,9,0
19820,1993,0,0.66077393750954
19820,1993,1,0.165579856704149
19820,1993,2,0.404586106274475
19820,1993,3,0.0718307561702488
19820,1993,4,0.0361182557461119
19820,1993,5,0.0277633251893605
19820,1993,6,0.050855358268262
19820,1993,7,0.0236593600667968
19820,1993,8,0
19820,1993,9,0.026166339895267
19820,1995,0,0.430056458107196
19820,1995,1,0.25768558189304
19820,1995,2,0.215332961760196
19820,1995,3,0.0674847391127941
19820,1995,4,0.145334834642959
19820,1995,5,0.0401031673808319
19820,1995,6,0.0224301788945978
19820,1995,7,0.011429183820065
19820,1995,8,0.0105985954471079
19820,1995,9,0.0233718047710001
19820,1997,0,0.322667187184056
19820,1997,1,0.108947301754863
19820,1997,2,0.0701711304992616
19820,1997,3,0.0783058963849722
19820,1997,4,0.0297000158419961
19820,1997,5,0.027257724884336
19820,1997,6,0
19820,1997,7,0.045969873426022
19820,1997,8,0
19820,1997,9,0
19820,1999,0,0.342277992144491
