"SMSA","Year","rented","vacant","count","vac_rate","predict_vac_rate"
360,1985,67382.85,5120.44,223,0.0706235537725253,0.0400029019185956
360,1987,59059.26,6528.45,190,0.0995377030239354,0.0319180421664848
360,1989,65232.89,4955.82,225,0.0706070819651765,0.042496187557536
360,1991,75562.2,3402.48,192,0.0430886315248792,0.0460837655151303
360,1993,76954.47,3107.18,251,0.0388098421653813,0.0315761427410855
360,1995,83292.01,4452.07,187,0.0507392635491762,0.0378257428257387
360,1997,82037.99319335,0,175,0,0.0462033789509299
360,1999,69836.9912153,1228.2498647,174,0.0172834123410252,0.0414573644439559
360,2001,58439.6136885,1490.2880604,179,0.0248671867783824,0.045826637978912
360,2003,52278.1128123,3911.831472,181,0.0696179987687406,0.0565056290467069
360,2005,44430.0633987,0,178,0,0.0715147737092525
360,2007,54086.7084682,5551.4699688,168,0.0930858405520284,0.0827356663115949
360,2009,47901.5995093,9440.5967235,176,0.164636120409004,0.0605243782453588
360,2011,57629.8835217,0,190,0,0.0675629119062173
360,2013,70021.2455248,0,184,0,0.0569682850866934
520,1985,44427.65,3875.98,224,0.080242002516167,0.0897524245896901
520,1987,52435.29,0,183,0,0.0816675648375794
520,1989,67269.67,3165.14,235,0.0449371553639458,0.0922457102286306
520,1991,38692.95,8057.54,185,0.172351990321385,0.0958332881862249
520,1993,62569.4,3277.16,264,0.0497696462806865,0.0813256654121801
520,1995,67428.67,2657.88,207,0.0379228254208546,0.0875752654968333
520,1997,57077.3047502,4207.0843364,138,0.0686485481719502,0.0959529016220244
520,1999,31119.4958981,7665.0870758,171,0.197632319031462,0.0912068871150505
520,2001,24017.0862609,8397.2113316,167,0.259058870784938,0.0955761606500066
520,2003,56765.7014352,10986.3188995,177,0.162154853024703,0.106255151717801
520,2005,75012.5563034,5724.0544564,189,0.0708978789489897,0.121264296380347
520,2007,82248.0945897,15038.823833,169,0.15458217894885,0.132485188982689
520,2009,89706.0339203,3882.9652829,165,0.0414895480874769,0.110273900916453
520,2011,111041.818409,11248.4041592,196,0.0919812223984373,0.117312434577312
520,2013,105695.0041625,14829.9914066,191,0.123044944632233,0.106717807757788
720,1985,22597.95,0,139,0,0.0436836172618549
720,1987,23166,0,123,0,0.0355987575097442
720,1989,26697.05,0,152,0,0.0461769029007954
720,1991,23221.79,0,112,0,0.0497644808583897
720,1993,22719.41,0,171,0,0.0352568580843449
720,1995,18713.67,2850,132,0.132166741561154,0.0415064581689981
720,1997,22558.8117559,0,113,0,0.0498840942941892
720,1999,24372.6208889,1489.0135489,111,0.0575761579370104,0.0451380797872153
720,2001,28451.2287616,1919.5426035,110,0.0632036170706486,0.0495073533221714
720,2003,20323.7923735,0,111,0,0.0601863443899662
720,2005,15099.9930741,3956.6799896,122,0.207627006895388,0.0751954890525119
720,2007,6511.465411,2445.9248015,97,0.273062213822808,0.0864163816548542
720,2009,16916.588251,0,90,0,0.0642050935886182
720,2011,29624.5561443,1930.8947864,120,0.0611905306199079,0.0712436272494767
720,2013,26872.6593643,1546.6019356,119,0.05442090557102,0.0606490004299528
1120,1985,17838.08,1125.59,216,0.0593550720931128,0.0900093700642564
1120,1987,13618.16,1918.95,194,0.123507524887189,0.0819245103121457
1120,1989,15357.3,1450.02,260,0.0862731238531783,0.0925026557031969
1120,1991,34252.66,0,189,0,0.0960902336607912
1120,1993,21392.95,3223.3,266,0.130941959071751,0.0815826108867464
1120,1995,22089.95,1202.68,198,0.0516334995232398,0.0878322109713996
1120,1997,22825.0196984,0,181,0,0.0962098470965907
1120,1999,10271.6965374,3099.2916122,180,0.231792263782144,0.0914638325896168
1120,2001,29825.5973821,2928.5521686,195,0.0894101116582773,0.0958331061245729
1120,2003,28797.7069639,0,193,0,0.106512097192368
1120,2005,8344.1538993,2545.3586861,178,0.233744041906216,0.121521241854913
1120,2007,5246.0179698,1464.8175228,147,0.218276476068478,0.132742134457256
1120,2009,24258.7008863,1925.4565271,165,0.0735351723066952,0.11053084639102
1120,2011,14144.8413258,3933.9335559,185,0.217599565326856,0.117569380051878
1120,2013,29240.3382629,0,174,0,0.106974753232354
1600,1985,45533.7,0,494,0,0.0571645121750435
1600,1987,38944.4,0,442,0,0.0490796524229328
1600,1989,57050.69,0,521,0,0.059657797813984
1600,1991,40529.18,3808.74,433,0.085902541210774,0.0632453757715783
1600,1993,54678.16,0,537,0,0.0487377529975335
1600,1995,41868.11,3276.86,981,0.0725852736196303,0.0549873530821867
1600,1997,44777.0046445,7731.8099988,414,0.147247848791166,0.0633649892073779
1600,1999,37967.57263877,3938.28758206,959,0.0939793995710034,0.0586189747004039
1600,2001,30261.2350598,1422.313697,404,0.0448912370239063,0.06298824823536
1600,2003,39728.33394586,3987.67270418,985,0.0912176799702347,0.0736672393031549
1600,2005,43760.0710626,3480.6140534,406,0.0736783144624875,0.0886763839657005
1600,2007,43910.9087836,9270.7077589,361,0.174321661536771,0.0998972765680429
1600,2009,58061.32382269,2740.1331471,488,0.0450668994406083,0.0776859885018068
1600,2011,83059.05508928,6236.8061144,438,0.0698442909932199,0.0847245221626653
1600,2013,36050.66363544,3196.05376257,432,0.0814349320010151,0.0741298953431414
1680,1985,28776.99,1749.23,190,0.05730254188039,0.0754326222052195
1680,1987,32313.78,1827.43,174,0.0535256366133479,0.0673477624531088
1680,1989,25905.54,0,195,0,0.07792590784416
1680,1991,19356.93,4008.79,178,0.171567150509379,0.0815134858017543
1680,1993,19183.47,1628.94,216,0.0782677258424181,0.0670058630277095
1680,1995,14143.71,0,173,0,0.0732554631123627
1680,1997,25114.8857055,0,170,0,0.0816330992375538
1680,1999,32542.9882859,2836.4332504,183,0.0801718379564166,0.0768870847305799
1680,2001,52363.0861659,5845.4813064,192,0.10042304011659,0.081256358265536
1680,2003,60892.5390698,4683.1923299,195,0.0714165474015807,0.0919353493333308
1680,2005,37540.8778133,5872.4380698,189,0.135268130303911,0.106944493995877
1680,2007,39059.726047,10427.5127007,153,0.210711144217652,0.118165386598219
1680,2009,23764.4365177,4663.0244532,152,0.164032393113593,0.0959540985319828
1680,2011,69020.32607496,7558.1655554,188,0.0986982819129271,0.102992632192841
1680,2013,56778.3312856,5704.9592488,182,0.0913037581729015,0.0923980053733174
1920,1985,72899.64,1788.8,221,0.0239501588197585,0.0544474238362328
1920,1987,91450.98,4051.42,207,0.0424221799661579,0.0463625640841221
1920,1989,84861.97,6626.23,233,0.0724271545401484,0.0569407094751733
1920,1991,77283.3,0,189,0,0.0605282874327676
1920,1993,61865.66,6277.39,267,0.0921207665345182,0.0460206646587228
1920,1995,63110.91,5467.65,200,0.079728270759841,0.052270264743376
1920,1997,72996.2491596,1651.6551986,174,0.0221259419510893,0.0606479008685671
1920,1999,66145.8266485,0,182,0,0.0559018863615932
1920,2001,55220.9884709,5357.4025576,180,0.0884375181750788,0.0602711598965493
1920,2003,76671.2037971,7359.3263422,201,0.0875791968704734,0.0709501509643441
1920,2005,60503.062634,10885.296475,204,0.152479992688719,0.0859592956268898
1920,2007,67365.6487594,7806.4057066,201,0.10384717781168,0.0971801882292321
1920,2009,104723.8853733,3465.806933,210,0.0320345391424889,0.0749689001629961
1920,2011,102439.7566989,12175.9991126,232,0.106233205255174,0.0820074338238546
1920,2013,127346.4133303,6314.0721719,226,0.047239632178323,0.0714128070043307
2160,1985,107957.41,9303.36,537,0.0793390662537863,0.0888341901964411
2160,1987,123147.86,3134.8,438,0.0248236772966296,0.0807493304443304
2160,1989,85528.47,6978.91,541,0.0754416566548528,0.0913274758353816
2160,1991,95749.31,4165.73,432,0.0416927221367274,0.0949150537929759
2160,1993,74364.92,8806.97,586,0.105888780452146,0.0804074310189311
2160,1995,119133.74,11019.61,1225,0.0846663570319166,0.0866570311035842
2160,1997,81484.2661447,10280.6681523,512,0.112032643308241,0.0950346672287754
2160,1999,98675.76930636,7947.2989914,1220,0.0745363936555084,0.0902886527218014
2160,2001,85112.40996336,6634.7514141,542,0.0723156042594468,0.0946579262567575
2160,2003,111822.22229491,9208.94326934,1220,0.0760873715989407,0.105336917324552
2160,2005,81684.0389569,9552.1582725,546,0.104697023358859,0.120346061987098
2160,2007,99394.3388613,15936.3583579,489,0.138179675855172,0.13156695458944
2160,2009,120129.44831309,18906.69616881,1525,0.135984036663727,0.109355666523204
2160,2011,150867.4312533,29468.0913294,624,0.163407025456597,0.116394200184063
2160,2013,169903.42286966,23460.51788488,2728,0.121328298302843,0.105799573364539
3360,1985,106067.55,21384.75,284,0.167786301227989,0.0901563782882405
3360,1987,128818.69,18767.69,270,0.127164105522474,0.0820715185361297
3360,1989,124478.14,10602.88,291,0.0784927445765512,0.0926496639271809
3360,1991,103465.13,20027.34,278,0.162174584409883,0.0962372418847752
3360,1993,109446.6,6369.7,342,0.054998303347629,0.0817296191107305
3360,1995,92040.95,2759.14,270,0.0291048246895124,0.0879792191953836
3360,1997,74788.745284,6547.4398022,243,0.0804984865624203,0.0963568553205748
3360,1999,77098.2588459,8325.1450697,273,0.0974574260459746,0.0916108408136008
3360,2001,60561.5903322,11351.874824,255,0.157854649325312,0.0959801143485569
3360,2003,56621.2015462,11448.1457685,256,0.168183568964936,0.106659105416352
3360,2005,76974.2837742,7284.7321989,242,0.0864564119906845,0.121668250078897
3360,2007,73866.8746684,7630.5456136,227,0.0936292901934385,0.13288914268124
3360,2009,105708.5358895,7198.021852,211,0.063752026418872,0.110677854615004
3360,2011,98162.5913416,8424.0199385,267,0.0790345038399095,0.117716388275862
3360,2013,112644.4881519,6348.0671455,279,0.0533484395694686,0.107121761456338
3760,1985,42327.61,6994.88,170,0.141819279602469,0.111001695903828
3760,1987,50921.25,4625.52,142,0.0832725287176914,0.102916836151717
3760,1989,35179.6,5891.87,171,0.143454081385448,0.113494981542769
3760,1991,54429.96,8816.31,139,0.139396520933171,0.117082559500363
3760,1993,52008.19,3682.42,183,0.0661228167549251,0.102574936726318
3760,1995,35996.17,10112.61,130,0.219320702044166,0.108824536810971
3760,1997,43004.1479219,6897.0432077,131,0.138213999537355,0.117202172936162
3760,1999,46773.3402143,3346.5980728,125,0.0667717915698503,0.112456158429189
3760,2001,41217.4273844,2211.5838047,135,0.0509241114210556,0.116825431964145
3760,2003,37451.9535631,4683.1923299,138,0.1111469351926,0.127504423031939
3760,2005,40140.2435861,3480.6140534,139,0.0797924259574438,0.142513567694485
3760,2007,42460.0093665,12355.1435776,126,0.225396499216187,0.153734460296827
3760,2009,59865.588566,12157.3771018,132,0.168798618455603,0.131523172230591
3760,2011,47086.9783937,6056.2847955,157,0.113961477561859,0.13856170589145
3760,2013,56719.8423146,5740.6225886,156,0.0919080989470172,0.127967079071926
4480,1985,318182.46,6828.52,745,0.0210101209503753,0.0310901890110619
4480,1987,318768.09,8770.89,655,0.0267781562976107,0.0230053292589511
4480,1989,320317.74,17312.47,764,0.0512764245829779,0.0335834746500023
4480,1991,304832.51,13589.57,658,0.0426778507319593,0.0371710526075966
4480,1993,276857.07,34666.39,807,0.111280190583399,0.0226634298335519
4480,1995,359755.9,17010.88,1541,0.0451496281068092,0.028913029918205
4480,1997,382028.57105,11950.5081263,616,0.030332849529181,0.0372906660433962
4480,1999,351051.29822167,10096.58228864,1469,0.0279569196816919,0.0325446515364222
4480,2001,311102.9943681,4282.1473425,603,0.0135775176955842,0.0369139250713783
4480,2003,286779.76220644,17607.80466867,1493,0.0578466619035543,0.0475929161391732
4480,2005,268371.2700936,6603.8602975,576,0.0240162093499411,0.0626020608017189
4480,2007,267596.7520878,5575.8273909,503,0.0204113729186892,0.0738229534040612
4480,2009,277971.2280904,13070.6745147,529,0.0449099404508599,0.0516116653378251
4480,2011,325629.92780213,9790.68350291,1694,0.0291892721345204,0.0586501989986836
4480,2013,304666.55203488,17389.8586724,622,0.0539963127397759,0.0480555721791597
5000,1985,50226.63,2339.64,180,0.0445083891248133,0.0708706464812806
5000,1987,69363.26,1959.86,143,0.0274786072174072,0.0627857867291699
5000,1989,57488.79,5033.55,183,0.080508023212183,0.0733639321202211
5000,1991,51209.6,5507.41,140,0.0971033205029673,0.0769515100778154
5000,1993,40295.67,11356.95,197,0.219871712219051,0.0624438873037706
5000,1995,40568.89,4355.45,145,0.0969507843632205,0.0686934873884238
5000,1997,59902.8231439,3329.6156076,143,0.0526567640493071,0.0770711235136149
5000,1999,51078.0145317,0,136,0,0.072325109006641
5000,2001,47260.9515548,6553.6236233,138,0.121781573144649,0.0766943825415971
5000,2003,67419.1404216,1476.9706253,136,0.0214376486982636,0.0873733736093919
5000,2005,51447.2600111,7201.1409823,131,0.122784949978609,0.102382518271938
5000,2007,66125.630426,3437.7848453,136,0.0494194373851903,0.11360341087428
5000,2009,58015.7269386,6250.3794597,129,0.0972577896809591,0.0913921228080439
5000,2011,49986.64099073,2112.3143174,137,0.0405442739668597,0.0984306564689024
5000,2013,53663.87907336,5104.7128982,146,0.0868612421524466,0.0878360296493785
5120,1985,23038.8,1747.19,249,0.0704910314254141,0.0391665621133586
5120,1987,5856.21,0,207,0,0.0310817023612479
5120,1989,6341.63,0,272,0,0.0416598477522991
5120,1991,9386.22,0,221,0,0.0452474257098934
5120,1993,7820.19,920.6,299,0.105322287802361,0.0307398029358486
5120,1995,12822.67,0,205,0,0.0369894030205018
5120,1997,8251.3169868,1851.3313749,199,0.18325208486109,0.0453670391456929
5120,1999,12817.39950336,0,193,0,0.040621024638719
5120,2001,12393.8815451,0,209,0,0.0449902981736751
5120,2003,14222.2161724,2372.9231525,202,0.142989046734882,0.0556692892414699
5120,2005,21964.6408935,2391.8240164,203,0.0982007867417497,0.0706784339040156
5120,2007,26375.5393627,0,170,0,0.081899326506358
5120,2009,31849.3124406,0,187,0,0.0596880384401219
5120,2011,32341.961019357,2147.78515396,217,0.0622731504942659,0.0667265721009804
5120,2013,34289.9199695,1641.1001849,203,0.0456736318047189,0.0561319452814565
5380,1985,24868.19,0,363,0,0.0267618545002447
5380,1987,34140.46,0,296,0,0.018676994748134
5380,1989,39799.46,2245.22,382,0.0534008107565571,0.0292551401391852
5380,1991,45609.47,4189.44,285,0.0841271425418749,0.0328427180967795
5380,1993,41188.93,0,380,0,0.0183350953227347
5380,1995,46150.91,0,308,0,0.0245846954073879
5380,1997,48936.0413927,3707.4292623,281,0.0704252439318963,0.032962331532579
5380,1999,53531.57208741,0,292,0,0.0282163170256051
5380,2001,39851.3501413,0,280,0,0.0325855905605612
5380,2003,34540.38585068,1738.97525663,303,0.0479329074039182,0.043264581628356
5380,2005,48534.145947,2548.7803494,282,0.0498949557942537,0.0582737262909017
5380,2007,37441.2615652,4598.4513736,248,0.109383510308319,0.069494618893244
5380,2009,42578.9506544,1572.2580985,243,0.0356107599975217,0.047283330827008
5380,2011,63586.24509591,5657.9282682,275,0.0817098102745576,0.0543218644878665
5380,2013,30313.82461508,1268.2072644,241,0.0401559744236722,0.0437272376683426
5600,1985,11444.16,2402.5,217,0.173507546224144,0.0502605552731233
5600,1987,16939.39,0,196,0,0.0421756955210126
5600,1989,35073.23,7855.89,247,0.182996763036372,0.0527538409120638
5600,1991,14431.92,0,197,0,0.0563414188696581
5600,1993,19007.11,0,249,0,0.0418337960956133
5600,1995,11351.74,0,192,0,0.0480833961802665
5600,1997,32373.5650217,0,184,0,0.0564610323054576
5600,1999,31470.3824596,1532.9262018,211,0.0464476521892752,0.0517150177984837
5600,2001,64370.057743,2928.1800392,211,0.0435105009536295,0.0560842913334398
5600,2003,55482.40592118,835.58466009,215,0.0148369047166945,0.0667632824012346
5600,2005,44732.8069806,2448.2096772,205,0.0518897185907769,0.0817724270637803
5600,2007,52387.1038115,4048.8486578,189,0.0717423642314266,0.0929933196661226
5600,2009,55115.4478183,10603.6811691,225,0.161348473914391,0.0707820315998866
5600,2011,65481.15836611,6191.2551026,219,0.086382679234081,0.0778205652607451
